Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Topic
"CustomAI wants to adapt foundation models for their specific use case and domain. They need to choose between fine-tuning their own model or enhancing responses with external knowledge. What approaches should they consider?","Random selection","Fine-tuning vs RAG (Retrieval-Augmented Generation)","No customization","Basic models only",B,"Fine-tuning vs RAG (Retrieval-Augmented Generation)"
"SafeAI needs to implement content filtering and safety measures for their AI-generated content to prevent harmful or inappropriate outputs. Which Bedrock feature should they use?","No filtering","Guardrails and content moderation","Manual review only","Basic filtering",B,"Guardrails and content moderation"
"MLProjectTeam wants to build end-to-end machine learning applications including model training, image moderation, NLP processing, and chatbot functionality. What projects should they consider for hands-on experience?","Theory only","Train & Deploy ML Model, Image Moderation App, NLP Pipeline, Chatbot with Lex","Reading only","Simple scripts only",B,"Train & Deploy ML Model, Image Moderation App, NLP Pipeline, Chatbot with Lex"
"AgentDev wants to build AI agents that can respond to events, plan multi-step actions, and use external tools to accomplish tasks. What types of agents should they consider?","Simple chatbots only","Reactive, planning, and tool-using agents","Static responses only","Manual processes",B,"Agent types: reactive, planning, tool-using"
"ConversationalAI needs to maintain context across multiple interactions and store conversation history efficiently. They want agents that remember previous interactions. What should they implement?","Stateless agents only","Memory management with conversation history and vector stores","Session-only memory","No memory",B,"Memory management: conversation history, vector stores"
"ToolIntegratedAI wants their agents to access external APIs, search capabilities, and calculation functions to provide comprehensive assistance. What integration approach should they implement?","Limited functionality","Tool integration with APIs, search, and calculators","Manual processes only","Basic responses only",B,"Tool integration: APIs, search, calculators"
"AdvancedPrompting wants to create sophisticated AI interactions with few-shot learning, prompt chaining, and knowledge-grounded responses. What prompting techniques should they master?","Basic prompts only","Prompt templates, chaining, few-shot and zero-shot prompting, context injection with RAG","Simple questions only","No optimization",B,"Prompt templates and chaining, Few-shot and zero-shot prompting, Context injection and grounding with RAG"
"AgentFramework team wants to build complex AI agents using established frameworks and integrate them with AWS Bedrock models. Which framework provides comprehensive agent development capabilities?","Custom framework only","LangChain agents with Bedrock models","Basic scripting","Manual implementation",B,"LangChain agents with Bedrock models"
"ChainedAI wants to create multi-step AI workflows with different types of chains for various use cases including sequential processing and agent execution. What LangChain components should they use?","Single step processing","Toolkits and chains (LLMChain, SequentialChain, AgentExecutor)","Manual workflows","Basic responses",B,"Toolkits and chains (LLMChain, SequentialChain, AgentExecutor)"
"SemanticSearch needs to generate embeddings for text data and implement vector search capabilities for their knowledge base. What should they implement for effective semantic search?","Keyword search only","Embedding generation and vector search (OpenSearch, Pinecone)","Manual search","Basic text matching",B,"Embedding generation and vector search (OpenSearch, Pinecone)"
"ProductionAI wants to deploy and monitor their AI agents in production with proper observability, evaluation, and rollback capabilities. What MLOps practices should they implement?","Basic deployment only","Model packaging, versioning, CI/CD for ML, AgentOps with observability and evaluation","Manual deployment","No monitoring",B,"Model packaging and versioning, CI/CD for ML (SageMaker Pipelines, GitHub Actions), AgentOps: observability, evaluation, rollback"
"ScalableAgents needs to deploy their AI agents with automatic scaling and cost optimization while handling variable loads efficiently. What deployment strategy should they use?","Fixed capacity only","SageMaker endpoints or Lambda with API Gateway integration and autoscaling","Manual scaling","Single instance deployment",B,"Deploying agents via SageMaker endpoints or Lambda, API Gateway integration, Autoscaling and cost optimization"
"SecureAgents must implement proper security controls for their AI agents including access management, content filtering, and comprehensive audit logging. What security measures should they prioritize?","Basic security only","IAM roles and policies, Guardrails in Bedrock, Content filtering and audit logging","Open access","Minimal security",B,"IAM roles and policies for agents, Guardrails in Bedrock, Content filtering and audit logging"
"AgentMasterclass wants to build comprehensive AI agent solutions including RAG implementation, API deployment, and secure workflows. What capstone projects should they undertake?","Simple chatbots only","Build RAG Agent, Deploy Agent API, Secure AI Workflow","Basic scripts only","Reading documentation only",B,"Build RAG Agent, Deploy Agent API, Secure AI Workflow"
